# Blue solid curve from Fig 3 left panel of https://arxiv.org/abs/2202.11024, extending to supersolas mass
# This result is from stochastic gravitational-wave background constraints for LIGO-Virgo-KAGRA O3 run
# data from https://github.com/gwastro/subsolar-O3-search
# PBHmass f_PBH
3.1623e-03 1.0606e+00
4.7787e-03 8.4190e-01
7.2214e-03 6.6833e-01
1.0913e-02 5.3058e-01
1.6491e-02 4.2127e-01
2.4920e-02 3.3452e-01
3.7658e-02 2.6569e-01
5.6908e-02 2.1107e-01
8.5997e-02 1.6774e-01
1.2996e-01 1.3336e-01
1.9638e-01 1.0610e-01
2.9677e-01 8.4494e-02
4.4846e-01 6.7374e-02
6.7770e-01 5.3827e-02
1.0241e+00 4.3127e-02
1.5476e+00 3.4704e-02
2.3387e+00 2.8110e-02
3.5341e+00 2.2981e-02
5.3406e+00 1.8978e-02
8.0704e+00 1.5765e-02
1.2196e+01 1.2966e-02
1.8430e+01 1.0522e-02
2.7850e+01 9.1038e-03
4.2086e+01 7.9527e-03
6.3599e+01 6.9617e-03
9.6108e+01 6.1354e-03
1.4523e+02 5.5875e-03
2.1947e+02 5.6581e-03
3.3166e+02 1.1219e-02
5.0119e+02 2.0153e+00
