# Orange solid curve from Fig 3 left panel of https://arxiv.org/abs/2202.11024
# This result is from a direct search for GW from solar mass PBH merger in LIGO-Virgo-KAGRA O1+O2+O3 run
# data from https://github.com/gwastro/subsolar-O3-search
# PBHmass f_PBH
0.1000 5.7308e-02
0.1172 4.6529e-02
0.1345 3.7419e-02
0.1517 3.0017e-02
0.1689 2.6137e-02
0.1862 2.3142e-02
0.2034 2.0485e-02
0.2206 1.8207e-02
0.2378 1.6828e-02
0.2551 1.5516e-02
0.2723 1.4287e-02
0.2895 1.3133e-02
0.3068 1.2091e-02
0.3240 1.1475e-02
0.3412 1.0920e-02
0.3585 1.0391e-02
0.3757 9.8975e-03
0.3929 9.4196e-03
0.4101 8.9586e-03
0.4274 8.5265e-03
0.4446 8.1526e-03
0.4618 7.8226e-03
0.4791 7.5024e-03
0.4963 7.1944e-03
0.5135 6.9055e-03
0.5308 6.6259e-03
0.5480 6.3558e-03
0.5652 6.0952e-03
0.5825 5.8440e-03
0.5997 5.6092e-03
0.6169 5.3986e-03
0.6341 5.3031e-03
0.6514 5.2076e-03
0.6686 5.1123e-03
0.6858 5.0173e-03
0.7031 4.9237e-03
0.7203 4.8310e-03
0.7375 4.7389e-03
0.7548 4.6476e-03
0.7720 4.5571e-03
0.7892 4.4676e-03
0.8064 4.3790e-03
0.8237 4.2931e-03
0.8409 4.2108e-03
0.8581 4.1295e-03
0.8754 4.0530e-03
0.8926 3.9818e-03
0.9098 3.9112e-03
0.9271 3.8415e-03
0.9443 3.7725e-03
0.9615 3.7043e-03
0.9788 3.6398e-03
0.9960 3.5770e-03
1.0132 3.5150e-03
1.0304 3.4537e-03
1.0477 3.3931e-03
1.0649 3.3332e-03
1.0821 3.2741e-03
1.0994 3.2158e-03
1.1166 3.1582e-03
1.1338 3.1015e-03
1.1511 3.0462e-03
1.1683 2.9926e-03
1.1855 2.9396e-03
1.2028 2.8874e-03
1.2200 2.8358e-03
1.2372 2.8047e-03
1.2544 2.7792e-03
1.2717 2.7537e-03
1.2889 2.7282e-03
1.3061 2.7028e-03
1.3234 2.6774e-03
1.3406 2.6521e-03
1.3578 2.6272e-03
1.3751 2.6032e-03
1.3923 2.5793e-03
1.4095 2.5555e-03
1.4267 2.5317e-03
1.4440 2.5080e-03
1.4612 2.4844e-03
1.4784 2.4609e-03
1.4957 2.4374e-03
1.5129 2.4141e-03
1.5301 2.3909e-03
1.5474 2.3677e-03
1.5646 2.3447e-03
1.5818 2.3217e-03
1.5991 2.2989e-03
1.6163 2.2778e-03
1.6335 2.2569e-03
1.6507 2.2361e-03
1.6680 2.2154e-03
1.6852 2.1947e-03
1.7024 2.1741e-03
1.7197 2.1536e-03
1.7369 2.1443e-03
1.7541 2.1423e-03
1.7714 2.1402e-03
1.7886 2.1380e-03
1.8058 2.1358e-03
1.8230 2.1334e-03
1.8403 2.1309e-03
1.8575 2.1284e-03
1.8747 2.1258e-03
1.8920 2.1231e-03
1.9092 2.1190e-03
1.9264 2.1147e-03
1.9437 2.1103e-03
1.9609 2.1058e-03
1.9781 2.1012e-03
1.9954 2.0965e-03
2.0126 2.0918e-03
2.0298 2.0869e-03
2.0470 2.0819e-03
2.0643 2.0769e-03
2.0815 2.0718e-03
2.0987 2.0665e-03
2.1160 2.0612e-03
2.1332 2.0559e-03
2.1504 2.0504e-03
2.1677 2.0448e-03
2.1849 2.0392e-03
2.2021 2.0335e-03
2.2193 2.0277e-03
2.2366 2.0219e-03
2.2538 2.0159e-03
2.2710 2.0099e-03
2.2883 2.0039e-03
2.3055 1.9977e-03
2.3227 1.9915e-03
2.3400 1.9852e-03
2.3572 1.9789e-03
2.3744 1.9724e-03
2.3917 1.9660e-03
2.4089 1.9594e-03
2.4261 1.9528e-03

