# Orange curve from Fig 3. of https://arxiv.org/abs/2106.08979
# This result is from a direct search for GW from (sub)solar mass PBH merger in LVC O3a run
# data from https://github.com/gwastro/subsolar-o3a-search
# PBHmass 	 f_PBH
1.000000000000000056e-01 8.116266250203042765e-02
1.114869835499703449e-01 7.051213002623001047e-02
1.229739670999406981e-01 6.086001019417631996e-02
1.344609506499110374e-01 5.253587338813518054e-02
1.459479341998813906e-01 4.540040212742980225e-02
1.574349177498517438e-01 3.975198295923533520e-02
1.689219012998220693e-01 3.658604896075771939e-02
1.804088848497923947e-01 3.358399179711594323e-02
1.918958683997627757e-01 3.096767656938874055e-02
2.033828519497331289e-01 2.849940764841947874e-02
2.148698354997034543e-01 2.622049117776469040e-02
2.263568190496737798e-01 2.464853637535886766e-02
2.378438025996441607e-01 2.334036014122885944e-02
2.493307861496145139e-01 2.207398742196044900e-02
2.608177696995848671e-01 2.086864775450230844e-02
2.723047532495551648e-01 1.971441021769243518e-02
2.837917367995255180e-01 1.860822332936372045e-02
2.952787203494958712e-01 1.755115420044944113e-02
3.067657038994662799e-01 1.661808183401787889e-02
3.182526874494365776e-01 1.600467541078761519e-02
3.297396709994069308e-01 1.546040604531211636e-02
3.412266545493772840e-01 1.492534243811051778e-02
3.527136380993475817e-01 1.440084623958037824e-02
3.642006216493179349e-01 1.393280875348294062e-02
3.756876051992882881e-01 1.347380965458319993e-02
3.871745887492586413e-01 1.302453180212618904e-02
3.986615722992289945e-01 1.258552713907166477e-02
4.101485558491992922e-01 1.215723171787628024e-02
4.216355393991696454e-01 1.175141543771443184e-02
4.331225229491400541e-01 1.137328173458934319e-02
4.446095064991103518e-01 1.104473024542364928e-02
4.560964900490807050e-01 1.073476311656676278e-02
4.675834735990510582e-01 1.043092843255967808e-02
4.790704571490214114e-01 1.013343196213459772e-02
4.905574406989917646e-01 9.842435129240734507e-03
5.020444242489621178e-01 9.570568550579446401e-03
5.135314077989324710e-01 9.308656433980896580e-03
5.250183913489028242e-01 9.052250306424368051e-03
5.365053748988730664e-01 8.801437908066376062e-03
5.479923584488434196e-01 8.556280697261416449e-03
5.594793419988137728e-01 8.316816445055587315e-03
5.709663255487841260e-01 8.083061626557598231e-03
5.824533090987545902e-01 7.855013627336109375e-03
5.939402926487247214e-01 7.643424352956287686e-03
6.054272761986951856e-01 7.437923555240132448e-03
6.169142597486655388e-01 7.256189922440286176e-03
6.284012432986358920e-01 7.163156346729509204e-03
6.398882268486062452e-01 7.070236962497505884e-03
6.513752103985765984e-01 6.977508925475933189e-03
6.628621939485469516e-01 6.885043722533452752e-03
6.743491774985173048e-01 6.792907508870971341e-03
6.858361610484876580e-01 6.701161424692091140e-03
6.973231445984580112e-01 6.610947492529513532e-03
7.088101281484282534e-01 6.521995616949965123e-03
7.202971116983986066e-01 6.433549111141809509e-03
7.317840952483689598e-01 6.345651845708487511e-03
7.432710787983393130e-01 6.258344067289383153e-03
7.547580623483096662e-01 6.171662614383453468e-03
7.662450458982800194e-01 6.085641121002862385e-03
7.777320294482503726e-01 6.000310208933773079e-03
7.892190129982206148e-01 5.915697669317310052e-03
8.007059965481909680e-01 5.831828634206192609e-03
8.121929800981614322e-01 5.748725738700589949e-03
8.236799636481317854e-01 5.670095744053633806e-03
8.351669471981021386e-01 5.594859853190323716e-03
8.466539307480724919e-01 5.520261744303165373e-03
8.581409142980428451e-01 5.446318387749015527e-03
8.696278978480131983e-01 5.374291626332845621e-03
8.811148813979835515e-01 5.308067692912346071e-03
8.926018649479537936e-01 5.242347338017860729e-03
9.040888484979241468e-01 5.177144629803903317e-03
9.155758320478945000e-01 5.112472349577980996e-03
9.270628155978648532e-01 5.048342064370050022e-03
9.385497991478352064e-01 4.984764195844544610e-03
9.500367826978055596e-01 4.921748085742811384e-03
9.615237662477759129e-01 4.859302058032152240e-03
9.730107497977461550e-01 4.800687292558431137e-03
9.844977333477165082e-01 4.745094891431465151e-03
9.959847168976868614e-01 4.689912021192083752e-03
1.007471700447657215e+00 4.635147166055428140e-03
1.018958683997627679e+00 4.580808057072142600e-03
1.030445667547597921e+00 4.526901715537806799e-03
1.041932651097568385e+00 4.473434484571966845e-03
1.053419634647538627e+00 4.420412068854523077e-03
1.064906618197509092e+00 4.367839567908522388e-03
1.076393601747479334e+00 4.315721508841422784e-03
1.087880585297449576e+00 4.264061877089561983e-03
1.099367568847420040e+00 4.212864146142566990e-03
1.110854552397390282e+00 4.162131305758678262e-03
1.122341535947360747e+00 4.111865888853956721e-03
1.133828519497331211e+00 4.062069997123854588e-03
1.145315503047301453e+00 4.013147083532175863e-03
1.156802486597271695e+00 3.966758533337569337e-03
1.168289470147242159e+00 3.920746071629668469e-03
1.179776453697212402e+00 3.875112942407016575e-03
1.191263437247182866e+00 3.829862026228007029e-03
1.202750420797153108e+00 3.784995858318250875e-03
1.214237404347123572e+00 3.740516645907283975e-03
1.225724387897093814e+00 3.699913096413216806e-03
1.237211371447064279e+00 3.676534676278736535e-03
1.248698354997034521e+00 3.653171735561743655e-03
1.260185338547004985e+00 3.629828744304211888e-03
1.271672322096975227e+00 3.606510002699788581e-03
1.283159305646945691e+00 3.583219646711804235e-03
1.294646289196915934e+00 3.559961653497349925e-03
1.306133272746886176e+00 3.536739846645072741e-03
1.317620256296856418e+00 3.513557901233959474e-03
1.329107239846826882e+00 3.490419348720036168e-03
1.340594223396797124e+00 3.467327581657551634e-03
1.352081206946767589e+00 3.444285858260964089e-03
1.363568190496738053e+00 3.423096117640370140e-03
1.375055174046708295e+00 3.402045814511979373e-03
1.386542157596678759e+00 3.381029118447116937e-03
1.398029141146649001e+00 3.360048912564664054e-03
1.409516124696619466e+00 3.339107972673522901e-03
1.421003108246589708e+00 3.318208970625691374e-03
1.432490091796560172e+00 3.297354477561602847e-03
1.443977075346530414e+00 3.276546967051618010e-03
1.455464058896500879e+00 3.255788818137329496e-03
1.466951042446471121e+00 3.235082318276227657e-03
1.478438025996441363e+00 3.214429666193118883e-03
1.489925009546411605e+00 3.193832974641538230e-03
1.501411993096382069e+00 3.173294273078266278e-03
1.512898976646352311e+00 3.152815510253940880e-03
1.524385960196322776e+00 3.132398556722619607e-03
1.535872943746293018e+00 3.112045207273051069e-03
1.547359927296263482e+00 3.091757183284300162e-03
1.558846910846233946e+00 3.071536135008240409e-03
1.570333894396204188e+00 3.051383643781391004e-03
1.581820877946174653e+00 3.031301224168404026e-03
1.593307861496144895e+00 3.011290326039482105e-03
1.604794845046115359e+00 2.992370029918328504e-03
1.616281828596085601e+00 2.975052129819634808e-03
1.627768812146056066e+00 2.957756069991972908e-03
1.639255795696026308e+00 2.940483740262389827e-03
1.650742779245996772e+00 2.923236974814700812e-03
1.662229762795967014e+00 2.906017553543627924e-03
1.673716746345937256e+00 2.888827203374855213e-03
